gid;name;number_;address;open;available;free;total;ticket;updated_at;globalid;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
901815;235_CONDE_DE_TORREFIEL_CECILIO_PLA;235;Conde Torrefiel - Cecilio Plá;T;11;4;15;T;28/11/2022 10:51:09;{0CD21452-4AAD-48E9-9BEE-BB7B5D50CFE5};;;;;"{""coordinates"": [-0.3772033703255944, 39.49804541205544], ""type"": ""Point""}";39.49804541205544,-0.3772033703255944
901825;245_9_DE_OCTUBRE_CIEZA;245;Nueve de Octubre - Cieza;T;2;18;20;F;28/11/2022 10:51:09;{2C2F01DA-8A58-4ED7-AF5A-06FB3E509923};;;;;"{""coordinates"": [-0.40527029936434095, 39.47213024806011], ""type"": ""Point""}";39.47213024806011,-0.40527029936434095
901820;240_CAMP_DEL_TURIA_AVDA_CORTES_VALENCIANAS;240;Camp del Turia - Corts Valencianes;T;6;14;20;F;28/11/2022 10:51:09;{4AEFF032-243A-4086-98E7-295DD2BA91C9};;;;;"{""coordinates"": [-0.40154745608135123, 39.495004413973305], ""type"": ""Point""}";39.495004413973305,-0.40154745608135123
901782;202_PASEO_PECHINA;202;Pechina - Teruel;T;7;12;20;T;28/11/2022 10:51:09;{36BE8625-9F3A-49E7-A16D-886F3DD9CA1D};;;;;"{""coordinates"": [-0.39333444304417053, 39.47622234753723], ""type"": ""Point""}";39.47622234753723,-0.39333444304417053
901784;204_AVDA_GENERAL_AVILES;204;Corts Valencianes - General Avilés;T;2;18;20;T;28/11/2022 10:51:09;{95217B7F-089C-4B90-8B29-69D545D169A2};;;;;"{""coordinates"": [-0.3965874461307865, 39.485843380594176], ""type"": ""Point""}";39.485843380594176,-0.3965874461307865
901802;222_AVDA_MAESTRO_RODRIGO_ESQ_AVDA_MANUEL_DE_FALLA;222;Maestro Rodrigo - Manuel de Falla;T;11;8;20;F;28/11/2022 10:51:09;{BE5E159C-473D-41B7-9196-94B00EEF1EDB};;;;;"{""coordinates"": [-0.39728245609920837, 39.47689335174765], ""type"": ""Point""}";39.47689335174765,-0.39728245609920837
901781;201_AVDA_PEREZ_GALDOS;201;Perez Galdós - Nou Moles;T;11;9;20;F;28/11/2022 10:51:09;{5CE08FC8-41CB-4874-8F9E-DA3CA235FCF7};;;;;"{""coordinates"": [-0.39366844724894096, 39.47171233289752], ""type"": ""Point""}";39.47171233289752,-0.39366844724894096
901786;206_CALLE_PERIODISTA_GIL_SUMBIELA;206;Periodista Gil Sumbiela - Poeta Serrano Clavero;T;0;15;15;F;28/11/2022 10:51:09;{075415F2-E420-4C4D-B460-1E5E03235277};;;;;"{""coordinates"": [-0.38900741524280136, 39.49271239990425], ""type"": ""Point""}";39.49271239990425,-0.38900741524280136
901829;249_AVDA_TRES_CRUCES_SEGUNDA_REPUBLICA_ESPAÑOLA;249;Tres Cruces - Segunda República Española;T;4;10;15;F;28/11/2022 10:51:09;{818D5FF1-E1DE-4F85-B86F-77C470C3A793};;;;;"{""coordinates"": [-0.4027404883331656, 39.459506295875165], ""type"": ""Point""}";39.459506295875165,-0.4027404883331656
901830;250_AVDA_TRES_CRUCES_PIO_XI;250;Tres Cruces - Pio XI;T;13;2;15;F;28/11/2022 10:51:09;{1CBFEE3B-88E4-478F-A8DF-D3931FAD15AC};;;;;"{""coordinates"": [-0.4008070181198941, 39.456352245577065], ""type"": ""Point""}";39.456352245577065,-0.4008070181198941
901834;254_AVDA_DR_TOMAS_SALA_CARTEROS;254;Doctor Tomás Sala - Carteros;T;8;11;19;T;28/11/2022 10:51:09;{0A8133A4-4228-4DB0-B1C2-2B40B490F1B9};;;;;"{""coordinates"": [-0.3899174536874086, 39.447714251158565], ""type"": ""Point""}";39.447714251158565,-0.3899174536874086
901785;205_CALLE_NICASIO_BENLLOCH;205;Nicasio Benlloch - Amics dels Corpus;T;1;23;24;T;28/11/2022 10:51:09;{F474091E-2147-4802-82AB-BCF22DFD884D};;;;;"{""coordinates"": [-0.3930904323547156, 39.48928739053543], ""type"": ""Point""}";39.48928739053543,-0.3930904323547156
901821;241_VALL_DE_ALBAIDA_PEATONAL;241;La Vall d'Albaida - Corts Valencianes;T;15;0;15;F;28/11/2022 10:51:09;{2388B26D-5F65-4720-9127-40F767F14256};;;;;"{""coordinates"": [-0.4018904586642118, 39.49297840711153], ""type"": ""Point""}";39.49297840711153,-0.4018904586642118
